Amount,Final_Origin_Balance,Final_Destination_Balance,Fraud,Transaction_Type_CASH_IN,Transaction_Type_CASH_OUT,Transaction_Type_DEBIT,Transaction_Type_PAYMENT,Transaction_Type_TRANSFER
183806.32,0.0,566378.51,0,False,True,False,False,False
521.37,0.0,0.0,0,False,False,False,True,False
3478.18,16374.82,0.0,0,False,False,False,True,False
1716.05,4053.13,0.0,0,False,False,False,True,False
253129.93,1581629.42,2460090.55,0,True,False,False,False,False
24768.57,0.0,0.0,0,False,False,False,True,False
124718.38,0.0,2607246.37,0,False,True,False,False,False
1464.13,59018.87,0.0,0,False,False,False,True,False
353783.72,0.0,1993547.95,0,False,False,False,False,True
266999.97,7678271.86,119812.91,0,True,False,False,False,False
53230.73,948312.35,6961915.77,0,True,False,False,False,False
195227.91,0.0,1451953.91,0,False,True,False,False,False
39108.07,0.0,2523908.91,0,False,True,False,False,False
417787.06,0.0,417787.06,0,False,True,False,False,False
819.35,273674.65,924328.92,0,False,False,True,False,False
4017.63,6288.37,0.0,0,False,False,False,True,False
14691.54,0.0,0.0,0,False,False,False,True,False
239121.18,0.0,489573.62,0,False,True,False,False,False
3167.66,59368.34,0.0,0,False,True,False,False,False
270566.57,0.0,586645.37,0,False,True,False,False,False
9608.56,17200.44,0.0,0,False,False,False,True,False
180.04,20826.96,0.0,0,False,False,False,True,False
834.62,19673.38,0.0,0,False,False,False,True,False
219979.57,0.0,268261.56,0,False,True,False,False,False
258953.67,0.0,768434.16,0,False,True,False,False,False
124885.22,0.0,11531171.65,0,False,True,False,False,False
198887.55,7652701.56,538276.22,0,True,False,False,False,False
17968.47,0.0,0.0,0,False,False,False,True,False
57701.37,0.0,57701.37,0,False,True,False,False,False
147803.6,0.0,397161.96,0,False,True,False,False,False
200330.14,0.0,3321302.8,0,False,True,False,False,False
377275.45,0.0,2266894.08,0,False,True,False,False,False
3950.45,0.0,0.0,0,False,False,False,True,False
17678.74,0.0,0.0,0,False,False,False,True,False
97315.53,57609.47,131911.61,0,False,True,False,False,False
22173.62,0.0,0.0,0,False,False,False,True,False
221420.51,6869436.72,821141.0,0,True,False,False,False,False
629431.23,0.0,630594.77,0,False,True,False,False,False
5521.12,46152.88,0.0,0,False,False,False,True,False
2904.77,0.0,0.0,0,False,False,False,True,False
274751.1,0.0,274751.1,0,False,True,False,False,False
116940.06,8122963.47,4057624.36,0,True,False,False,False,False
21050.76,0.0,1774531.2,0,False,True,False,False,False
152046.3,0.0,558648.89,0,False,True,False,False,False
291182.56,0.0,871722.51,0,False,True,False,False,False
1531.71,21349.29,0.0,0,False,False,False,True,False
13845.29,0.0,2491805.8,0,False,True,False,False,False
1188.95,0.0,0.0,0,False,False,False,True,False
12667.7,362204.22,0.0,0,False,False,False,True,False
65516.41,49501.59,65516.41,0,False,True,False,False,False
17457.41,0.0,0.0,0,False,False,False,True,False
1015.43,0.0,0.0,0,False,False,False,True,False
96067.45,1742287.24,443125.3,0,True,False,False,False,False
1604.03,208804.97,0.0,0,False,False,False,True,False
14330.33,19518.44,0.0,0,False,False,False,True,False
229110.92,0.0,229110.92,0,False,True,False,False,False
14057.22,0.0,0.0,0,False,False,False,True,False
14167.99,0.0,0.0,0,False,False,False,True,False
138340.69,0.0,825782.46,0,False,True,False,False,False
9021.0,96181.0,0.0,0,False,False,False,True,False
85955.34,242999.34,9270985.14,0,True,False,False,False,False
132823.81,9265265.92,2592845.88,0,True,False,False,False,False
422018.23,464614.23,5895065.75,0,True,False,False,False,False
109480.44,0.0,524085.92,0,False,True,False,False,False
386838.1,0.0,4687881.8,0,False,True,False,False,False
306069.37,336804.37,0.0,0,True,False,False,False,False
84782.1,20511.9,410302.64,0,False,True,False,False,False
87999.13,5172255.81,11725918.02,0,True,False,False,False,False
5733.6,15136.4,0.0,0,False,False,False,True,False
3842.48,16200.52,0.0,0,False,False,False,True,False
8772.84,22359.16,0.0,0,False,False,False,True,False
5038.94,0.0,0.0,0,False,False,False,True,False
32728.65,0.0,0.0,0,False,False,False,True,False
519426.69,17241885.4,4143642.69,0,True,False,False,False,False
406693.65,0.0,984424.07,0,False,True,False,False,False
351916.36,359999.36,0.0,0,True,False,False,False,False
1926.85,0.0,0.0,0,False,False,False,True,False
3202.17,0.0,0.0,0,False,False,False,True,False
144743.02,0.0,789220.62,0,False,True,False,False,False
853.36,208.64,0.0,0,False,False,False,True,False
4986.64,0.0,0.0,0,False,False,False,True,False
62040.38,0.0,2273854.97,0,False,True,False,False,False
4740.25,0.0,301703.03,0,False,True,False,False,False
149869.26,0.0,651220.0,0,False,True,False,False,False
20304.22,11127.78,32404.59,0,False,True,False,False,False
555624.58,0.0,693416.92,0,False,False,False,False,True
12819.63,0.0,0.0,0,False,False,False,True,False
1028852.71,0.0,2070668.57,0,False,False,False,False,True
283.6,5996723.97,1695905.79,0,True,False,False,False,False
230630.03,3672084.3,748891.49,0,True,False,False,False,False
19578.16,0.0,0.0,0,False,False,False,True,False
785.1,192352.18,0.0,0,False,False,False,True,False
17899.13,0.0,0.0,0,False,False,False,True,False
82914.11,94134.11,291082.29,0,True,False,False,False,False
105677.03,0.0,2562586.16,0,False,True,False,False,False
273064.49,0.0,1561275.07,0,False,True,False,False,False
5130.06,13475.33,0.0,0,False,False,False,True,False
29175.35,10993.65,0.0,0,False,False,False,True,False
21391.53,20895.47,21391.53,0,False,True,False,False,False
81595.54,0.0,99200.79,0,False,True,False,False,False
29577.2,123622.8,0.0,0,False,False,False,True,False
253979.48,0.0,722524.93,0,False,True,False,False,False
9554.61,0.0,0.0,0,False,False,False,True,False
25634.56,0.0,229608.56,0,False,True,False,False,False
213399.85,0.0,5141602.75,0,False,False,False,False,True
13195.74,0.0,0.0,0,False,False,False,True,False
245481.3,0.0,944986.08,0,False,True,False,False,False
173663.28,0.0,181494.29,0,False,True,False,False,False
174230.84,194953.84,0.0,0,True,False,False,False,False
704477.84,0.0,1973005.63,0,False,False,False,False,True
21310.21,41978.21,66772.0,0,True,False,False,False,False
14554.54,0.0,1152887.32,0,False,True,False,False,False
2981.95,38021.05,0.0,0,False,False,False,True,False
30656.51,8477911.2,1621399.93,0,True,False,False,False,False
139046.77,0.0,752561.06,0,False,True,False,False,False
56403.43,9263367.04,1421308.76,0,True,False,False,False,False
112562.54,0.0,0.0,0,False,True,False,False,False
20419.19,0.0,0.0,0,False,False,False,True,False
884.31,126.69,0.0,0,False,False,False,True,False
194605.15,0.0,413135.31,0,False,False,False,False,True
408068.76,3429023.71,3585190.52,0,True,False,False,False,False
148278.59,0.0,707515.43,0,False,True,False,False,False
3227.2,11204.8,0.0,0,False,False,False,True,False
133027.88,0.0,353819.38,0,False,True,False,False,False
49939.64,0.0,124078.72,0,False,True,False,False,False
14129.62,0.0,0.0,0,False,False,False,True,False
281978.35,291925.35,230390.92,0,True,False,False,False,False
95504.16,0.0,712195.27,0,False,True,False,False,False
558073.69,0.0,1341281.21,0,False,False,False,False,True
62351.34,12928.66,674805.07,0,False,True,False,False,False
11971.69,82326.31,0.0,0,False,False,False,True,False
77544.27,757818.67,637592.47,0,True,False,False,False,False
251510.3,0.0,251510.3,0,False,True,False,False,False
122967.11,0.0,438889.94,0,False,True,False,False,False
251952.25,260192.25,833083.76,0,True,False,False,False,False
20020.61,121096.01,0.0,0,False,False,False,True,False
2748.6,0.0,0.0,0,False,False,False,True,False
175825.01,0.0,354419.63,0,False,True,False,False,False
25106.06,0.0,0.0,0,False,False,False,True,False
57023.97,0.0,1061202.32,0,False,True,False,False,False
74103.27,185568.47,331473.5,0,False,True,False,False,False
37891.64,14109.36,37891.64,0,False,True,False,False,False
35086.5,4430868.43,256936.19,0,True,False,False,False,False
82534.5,856129.55,11210256.02,0,True,False,False,False,False
301.03,318772.94,0.0,0,False,False,False,True,False
393456.7,0.0,434513.04,0,False,True,False,False,False
118863.93,0.0,259753.65,0,False,True,False,False,False
1561.78,0.0,140730.68,0,False,True,False,False,False
404770.93,436170.93,0.0,0,True,False,False,False,False
